date,browser,os,visits
2023-11-22,Opera,Windows,597
2023-11-22,Edge,Android,409
2023-11-22,Firefox,Linux,320
2023-11-22,Opera,Android,270
2023-11-22,Edge,Macintosh,179
2023-11-22,Mozilla Compatible Agent,Macintosh,173
2023-11-22,Internet Explorer,Windows,154
2023-11-22,Samsung Internet,Linux,122
2023-11-22,Opera Mini,(not set),120
2023-11-21,Chrome,Windows,134399
2023-11-21,Safari,iOS,126530
2023-11-21,Chrome,Android,66644
2023-11-21,Edge,Windows,56684
2023-11-21,Safari,Macintosh,25898
2023-11-21,Chrome,Macintosh,25543
2023-11-21,Chrome,Chrome OS,18562
2023-11-21,Chrome,iOS,16805
2023-11-21,Chrome,Linux,10784
2023-11-21,Firefox,Windows,6768
2023-11-21,Safari (in-app),iOS,5131
2023-11-21,Samsung Internet,Android,4720
2023-11-21,Firefox,Macintosh,2489
2023-11-21,Android Webview,Android,2319
2023-11-21,(not set),iOS,1003
2023-11-21,Firefox,Android,851
2023-11-21,Amazon Silk,Android,779
2023-11-21,Opera,Windows,591
2023-11-21,Edge,Android,412
2023-11-21,Firefox,Linux,386
2023-11-21,Opera,Android,298
2023-11-21,Internet Explorer,Windows,221
2023-11-21,Mozilla Compatible Agent,Macintosh,212
2023-11-21,Edge,Macintosh,192
2023-11-21,Samsung Internet,Linux,134
2023-11-21,Opera Mini,(not set),106
2023-11-20,Chrome,Windows,144154
2023-11-20,Safari,iOS,131456
2023-11-20,Chrome,Android,68392
2023-11-20,Edge,Windows,68197
2023-11-20,Safari,Macintosh,29238
2023-11-20,Chrome,Macintosh,28596
2023-11-20,Chrome,Chrome OS,24506
2023-11-20,Chrome,iOS,17133
2023-11-20,Chrome,Linux,11230
2023-11-20,Firefox,Windows,6937
2023-11-20,Samsung Internet,Android,5253
2023-11-20,Safari (in-app),iOS,4929
2023-11-20,Firefox,Macintosh,2617
2023-11-20,Android Webview,Android,2120
2023-11-20,(not set),iOS,1073
2023-11-20,Firefox,Android,850
2023-11-20,Amazon Silk,Android,745
2023-11-20,Opera,Windows,618
2023-11-20,Edge,Android,466
2023-11-20,Firefox,Linux,364
2023-11-20,Opera,Android,276
2023-11-20,Mozilla Compatible Agent,Macintosh,249
2023-11-20,Edge,Macintosh,202
2023-11-20,Internet Explorer,Windows,194
2023-11-20,(not set),(not set),187
2023-11-20,Samsung Internet,Linux,128
2023-11-19,Safari,iOS,128424
2023-11-19,Chrome,Android,63082
2023-11-19,Chrome,Windows,48208
2023-11-19,Safari,Macintosh,26077
2023-11-19,Chrome,Macintosh,18614
2023-11-19,Chrome,iOS,18128
2023-11-19,Edge,Windows,16669
2023-11-19,Chrome,Linux,12202
2023-11-19,Chrome,Chrome OS,5618
2023-11-19,Safari (in-app),iOS,4943
2023-11-19,Samsung Internet,Android,4708
2023-11-19,Firefox,Windows,3285
2023-11-19,Android Webview,Android,2160
2023-11-19,Firefox,Macintosh,2043
2023-11-19,(not set),iOS,995
2023-11-19,Firefox,Android,974
2023-11-19,Amazon Silk,Android,776
2023-11-19,Opera,Windows,474
2023-11-19,Edge,Android,413
2023-11-19,Firefox,Linux,292
2023-11-19,Opera,Android,266
2023-11-19,Mozilla Compatible Agent,Macintosh,220
2023-11-19,Samsung Internet,Linux,140
2023-11-19,Opera Mini,(not set),112
2023-11-18,Safari,iOS,123100
2023-11-18,Chrome,Android,64532
2023-11-18,Chrome,Windows,40729
2023-11-18,Safari,Macintosh,21704
2023-11-18,Chrome,iOS,17752
2023-11-18,Chrome,Macintosh,14054
2023-11-18,Edge,Windows,13946
2023-11-18,Chrome,Linux,10869
2023-11-18,Safari (in-app),iOS,5172
2023-11-18,Samsung Internet,Android,4347
2023-11-18,Chrome,Chrome OS,3963
2023-11-18,Firefox,Windows,3165
2023-11-18,Android Webview,Android,2338
2023-11-18,Firefox,Macintosh,1726
2023-11-18,(not set),iOS,1195
2023-11-18,Firefox,Android,912
2023-11-18,Amazon Silk,Android,751
2023-11-18,Opera,Windows,423
2023-11-18,Edge,Android,364
2023-11-18,Opera,Android,283
2023-11-18,Firefox,Linux,259
2023-11-18,Mozilla Compatible Agent,Macintosh,167
2023-11-18,Samsung Internet,Linux,141
2023-11-17,Safari,iOS,139190
2023-11-17,Chrome,Windows,121309
2023-11-17,Chrome,Android,70108
2023-11-17,Edge,Windows,52278
2023-11-17,Safari,Macintosh,32112
2023-11-17,Chrome,Chrome OS,30186
2023-11-17,Chrome,Macintosh,27758
2023-11-17,Chrome,iOS,19227
2023-11-17,Chrome,Linux,10916
2023-11-17,Safari (in-app),iOS,6653
2023-11-17,Firefox,Windows,6485
2023-11-17,Samsung Internet,Android,5544
2023-11-17,Android Webview,Android,3209
2023-11-17,Firefox,Macintosh,2479
2023-11-17,(not set),iOS,1207
2023-11-17,Firefox,Android,1019
2023-11-17,Amazon Silk,Android,840
2023-11-17,Opera,Windows,553
2023-11-17,Edge,Android,463
2023-11-17,Firefox,Linux,361
2023-11-17,(not set),(not set),308
2023-11-17,Mozilla Compatible Agent,Macintosh,266
2023-11-17,Opera,Android,257
2023-11-17,Internet Explorer,Windows,188
2023-11-17,Edge,Macintosh,177
2023-11-17,Samsung Internet,Linux,157
2023-11-17,Opera Mini,(not set),113
2023-11-16,Safari,iOS,144269
2023-11-16,Chrome,Windows,142159
2023-11-16,Chrome,Android,69180
2023-11-16,Edge,Windows,63813
2023-11-16,Chrome,Chrome OS,38659
2023-11-16,Safari,Macintosh,35118
2023-11-16,Chrome,Macintosh,33047
2023-11-16,Chrome,iOS,18396
2023-11-16,Chrome,Linux,11172
2023-11-16,Firefox,Windows,7191
2023-11-16,Safari (in-app),iOS,6897
2023-11-16,Samsung Internet,Android,5469
2023-11-16,Android Webview,Android,3050
2023-11-16,Firefox,Macintosh,2787
2023-11-16,(not set),iOS,1520
2023-11-16,Firefox,Android,972
2023-11-16,Amazon Silk,Android,707
2023-11-16,Opera,Windows,665
2023-11-16,Edge,Android,487
2023-11-16,Firefox,Linux,451
2023-11-16,Opera,Android,292
2023-11-16,(not set),(not set),234
2023-11-16,Mozilla Compatible Agent,Macintosh,214
2023-11-16,Edge,Macintosh,205
2023-11-16,Internet Explorer,Windows,203
2023-11-16,Samsung Internet,Linux,159
2023-11-15,Chrome,Windows,141848
2023-11-15,Safari,iOS,113157
2023-11-15,Edge,Windows,60680
2023-11-15,Chrome,Android,60312
2023-11-15,Chrome,Chrome OS,39108
2023-11-15,Chrome,Macintosh,32243
2023-11-15,Safari,Macintosh,29654
2023-11-15,Chrome,iOS,14806
2023-11-15,Chrome,Linux,10282
2023-11-15,Firefox,Windows,6941
2023-11-15,Safari (in-app),iOS,6407
2023-11-15,Samsung Internet,Android,4500
2023-11-15,Android Webview,Android,3072
2023-11-15,Firefox,Macintosh,2573
2023-11-15,(not set),iOS,1374
2023-11-15,Firefox,Android,818
2023-11-15,Opera,Windows,727
2023-11-15,Amazon Silk,Android,657
2023-11-15,Firefox,Linux,578
2023-11-15,Edge,Android,325
2023-11-15,Opera,Android,290
2023-11-15,Mozilla Compatible Agent,Macintosh,248
2023-11-15,Edge,Macintosh,232
2023-11-15,Internet Explorer,Windows,205
2023-11-15,(not set),(not set),131
2023-11-15,Samsung Internet,Linux,115
2023-11-15,Opera Mini,(not set),107
2023-11-14,Chrome,Windows,141271
2023-11-14,Safari,iOS,114892
2023-11-14,Edge,Windows,65475
2023-11-14,Chrome,Android,57021
2023-11-14,Chrome,Chrome OS,42682
2023-11-14,Chrome,Macintosh,32964
2023-11-14,Safari,Macintosh,29669
2023-11-14,Chrome,iOS,13703
2023-11-14,Chrome,Linux,10967
2023-11-14,Firefox,Windows,7341
2023-11-14,Safari (in-app),iOS,4544
2023-11-14,Samsung Internet,Android,4301
2023-11-14,Firefox,Macintosh,2526
2023-11-14,Android Webview,Android,2166
2023-11-14,(not set),iOS,1452
2023-11-14,Opera,Windows,696
2023-11-14,Firefox,Android,685
2023-11-14,Amazon Silk,Android,608
2023-11-14,Firefox,Linux,539
2023-11-14,Edge,Android,371
2023-11-14,Opera,Android,267
2023-11-14,Internet Explorer,Windows,203
2023-11-14,Edge,Macintosh,200
2023-11-14,Mozilla Compatible Agent,Macintosh,195
2023-11-14,(not set),(not set),172
2023-11-14,Opera Mini,(not set),124
2023-11-13,Chrome,Windows,142365
2023-11-13,Safari,iOS,108931
2023-11-13,Edge,Windows,66449
2023-11-13,Chrome,Android,57066
2023-11-13,Chrome,Chrome OS,40083
2023-11-13,Chrome,Macintosh,33991
2023-11-13,Safari,Macintosh,31382
2023-11-13,Chrome,iOS,14034
2023-11-13,Chrome,Linux,12072
2023-11-13,Firefox,Windows,7667
2023-11-13,Samsung Internet,Android,4173
2023-11-13,Safari (in-app),iOS,4166
2023-11-13,Firefox,Macintosh,2563
2023-11-13,Android Webview,Android,2145
2023-11-13,(not set),iOS,1442
2023-11-13,Firefox,Android,777
2023-11-13,Opera,Windows,725
2023-11-13,Firefox,Linux,603
2023-11-13,Amazon Silk,Android,549
2023-11-13,Edge,Android,375
2023-11-13,(not set),(not set),360
2023-11-13,Opera,Android,290
2023-11-13,Edge,Macintosh,238
2023-11-13,Internet Explorer,Windows,206
2023-11-13,Mozilla Compatible Agent,Macintosh,204
2023-11-13,Samsung Internet,Linux,115
2023-11-12,Safari,iOS,104429
2023-11-12,Chrome,Android,54443
2023-11-12,Chrome,Windows,48472
2023-11-12,Safari,Macintosh,21701
2023-11-12,Chrome,Macintosh,19617
2023-11-12,Edge,Windows,16159
2023-11-12,Chrome,iOS,14138
2023-11-12,Chrome,Linux,12846
2023-11-12,Chrome,Chrome OS,6056
2023-11-12,Samsung Internet,Android,4063
2023-11-12,Safari (in-app),iOS,3817
2023-11-12,Firefox,Windows,3667
2023-11-12,Android Webview,Android,1866
2023-11-12,Firefox,Macintosh,1743
2023-11-12,(not set),iOS,1340
2023-11-12,Firefox,Android,772
2023-11-12,Opera,Windows,537
2023-11-12,Firefox,Linux,496
2023-11-12,Amazon Silk,Android,486
2023-11-12,Edge,Android,255
2023-11-12,Opera,Android,251
2023-11-12,Mozilla Compatible Agent,Macintosh,167
2023-11-12,Edge,Macintosh,136
2023-11-12,(not set),(not set),135
2023-11-12,Samsung Internet,Linux,124
2023-11-12,Opera Mini,(not set),114
2023-11-11,Safari,iOS,100102
2023-11-11,Chrome,Android,50945
2023-11-11,Chrome,Windows,36528
2023-11-11,Safari,Macintosh,17281
2023-11-11,Chrome,Macintosh,13682
2023-11-11,Chrome,iOS,12955
2023-11-11,Edge,Windows,12369
2023-11-11,Chrome,Linux,11780
2023-11-11,Chrome,Chrome OS,3753
2023-11-11,Samsung Internet,Android,3748
2023-11-11,Firefox,Windows,3181
2023-11-11,Safari (in-app),iOS,2938
2023-11-11,Firefox,Macintosh,1580
2023-11-11,Android Webview,Android,1524
2023-11-11,(not set),iOS,1516
2023-11-11,Firefox,Android,751
2023-11-11,Amazon Silk,Android,517
2023-11-11,Firefox,Linux,415
2023-11-11,Opera,Windows,410
2023-11-11,Edge,Android,283
2023-11-11,Opera,Android,234
2023-11-11,Mozilla Compatible Agent,Macintosh,138
2023-11-11,(not set),(not set),125
2023-11-11,Opera Mini,(not set),125
2023-11-11,Samsung Internet,Linux,101
2023-11-10,Safari,iOS,102622
2023-11-10,Chrome,Windows,90404
2023-11-10,Chrome,Android,54443
2023-11-10,Edge,Windows,30869
2023-11-10,Chrome,Macintosh,22607
2023-11-10,Safari,Macintosh,22594
2023-11-10,Chrome,Chrome OS,21426
2023-11-10,Chrome,iOS,13765
2023-11-10,Chrome,Linux,11826
2023-11-10,Firefox,Windows,5449
2023-11-10,Samsung Internet,Android,4098
2023-11-10,Safari (in-app),iOS,3345
2023-11-10,Firefox,Macintosh,2177
2023-11-10,Android Webview,Android,2045
2023-11-10,(not set),iOS,1880
2023-11-10,Firefox,Android,722
2023-11-10,Amazon Silk,Android,521
2023-11-10,Opera,Windows,489
2023-11-10,Firefox,Linux,398
2023-11-10,Edge,Android,306
2023-11-10,Opera,Android,259
2023-11-10,Edge,Macintosh,167
2023-11-10,Mozilla Compatible Agent,Macintosh,160
2023-11-10,Samsung Internet,Linux,114
2023-11-10,Internet Explorer,Windows,112
2023-11-09,Chrome,Windows,155482
2023-11-09,Safari,iOS,112536
2023-11-09,Edge,Windows,62843
2023-11-09,Chrome,Android,59690
2023-11-09,Chrome,Chrome OS,37723
2023-11-09,Chrome,Macintosh,32071
2023-11-09,Safari,Macintosh,28332
2023-11-09,Chrome,iOS,14489
2023-11-09,Chrome,Linux,13073
2023-11-09,Firefox,Windows,7494
2023-11-09,Samsung Internet,Android,4515
2023-11-09,Safari (in-app),iOS,4351
2023-11-09,Android Webview,Android,2806
2023-11-09,Firefox,Macintosh,2568
2023-11-09,(not set),iOS,2362
2023-11-09,Firefox,Android,742
2023-11-09,Opera,Windows,565
