date,browser,os_version,visits
2023-11-25,Edge,11,6195
2023-11-25,Edge,10,5714
2023-11-25,Firefox,10,2512
2023-11-25,Chrome,7,920
2023-11-25,Opera,10,355
2023-11-25,Chrome,8.1,347
2023-11-25,Firefox,7,124
2023-11-24,Chrome,10,36091
2023-11-24,Chrome,11,17555
2023-11-24,Edge,10,14840
2023-11-24,Edge,11,7423
2023-11-24,Firefox,10,3255
2023-11-24,Chrome,7,1125
2023-11-24,Chrome,8.1,556
2023-11-24,Opera,10,399
2023-11-24,Firefox,7,167
2023-11-23,Chrome,10,28040
2023-11-23,Chrome,11,14988
2023-11-23,Edge,10,6488
2023-11-23,Edge,11,5839
2023-11-23,Firefox,10,2756
2023-11-23,Chrome,7,1051
2023-11-23,Chrome,8.1,543
2023-11-23,Opera,10,470
2023-11-23,Firefox,7,155
2023-11-22,Chrome,10,64058
2023-11-22,Edge,10,30122
2023-11-22,Chrome,11,28093
2023-11-22,Edge,11,11953
2023-11-22,Firefox,10,4909
2023-11-22,Chrome,7,1479
2023-11-22,Chrome,8.1,643
2023-11-22,Opera,10,569
2023-11-22,Firefox,7,175
2023-11-22,Internet Explorer,10,143
2023-11-21,Chrome,10,94241
2023-11-21,Edge,10,40793
2023-11-21,Chrome,11,35323
2023-11-21,Edge,11,15280
2023-11-21,Firefox,10,6244
2023-11-21,Chrome,7,1534
2023-11-21,Chrome,8.1,629
2023-11-21,Opera,10,554
2023-11-21,Firefox,7,256
2023-11-21,Internet Explorer,10,200
2023-11-21,Edge,7,107
2023-11-20,Chrome,10,97732
2023-11-20,Edge,10,48091
2023-11-20,Chrome,11,38566
2023-11-20,Edge,11,16158
2023-11-20,Firefox,10,6217
2023-11-20,Chrome,7,1565
2023-11-20,Chrome,8.1,644
2023-11-20,Opera,10,556
2023-11-20,Firefox,7,249
2023-11-20,Internet Explorer,10,173
2023-11-20,Edge,7,106
2023-11-19,Chrome,10,26593
2023-11-19,Chrome,11,20361
2023-11-19,Edge,11,8875
2023-11-19,Edge,10,7761
2023-11-19,Firefox,10,3093
2023-11-19,Chrome,7,961
2023-11-19,Opera,10,455
2023-11-19,Chrome,8.1,399
2023-11-19,Firefox,7,137
2023-11-18,Chrome,10,22471
2023-11-18,Chrome,11,16424
2023-11-18,Edge,11,6959
2023-11-18,Edge,10,6957
2023-11-18,Firefox,10,2949
2023-11-18,Chrome,7,941
2023-11-18,Opera,10,402
2023-11-18,Chrome,8.1,353
2023-11-18,Firefox,7,142
2023-11-17,Chrome,10,83526
2023-11-17,Edge,10,37435
2023-11-17,Chrome,11,33266
2023-11-17,Edge,11,13904
2023-11-17,Firefox,10,5950
2023-11-17,Chrome,7,1485
2023-11-17,Chrome,8.1,632
2023-11-17,Opera,10,514
2023-11-17,Firefox,7,240
2023-11-17,Internet Explorer,10,161
2023-11-17,Edge,7,116
