page_title,event_label,page,total_events
"Historical Tables | OMB | The White House",https://www.whitehouse.gov/wp-content/uploads/2023/03/hist02z1_fy2024.xlsx,whitehouse.gov/omb/budget/historical-tables/,5
"Historical Tables | OMB | The White House",https://www.whitehouse.gov/wp-content/uploads/2023/03/hist_intro_fy2024.pdf,whitehouse.gov/omb/budget/historical-tables/,5
"Justice40 Initiative | Environmental Justice | The White House",https://www.whitehouse.gov/wp-content/uploads/2023/01/M-23-09_Signed_CEQ_CPO.pdf,whitehouse.gov/environmentaljustice/justice40/,5
"Justice40 Initiative | Environmental Justice | The White House",https://www.whitehouse.gov/wp-content/uploads/2023/04/Justice40-Covered-Programs-List_v1.4_04-20-2023.pdf,whitehouse.gov/environmentaljustice/justice40/,5
National AI Advisory Committee - AI.gov,https://ai.gov/wp-content/uploads/2023/11/Recommendations_Generative-AI-Away-from-the-Frontier.pdf,ai.gov/naiac/,5
"National Artificial Intelligence Research Resource Task Force Releases Final Report | OSTP | The White House",https://www.ai.gov/wp-content/uploads/2023/01/NAIRR-TF-Final-Report-2023.pdf,whitehouse.gov/ostp/news-updates/2023/01/24/national-artificial-intelligence-research-resource-task-force-releases-final-report/,5
"Presidential Commission on SCOTUS | The White House",https://www.whitehouse.gov/wp-content/uploads/2021/12/SCOTUS-Report-Final-12.8.21-1.pdf,whitehouse.gov/pcscotus/,5
"Public Service Loan Forgiveness | The White House",https://www.whitehouse.gov/wp-content/uploads/2022/08/PSLFExplainerDoc811.pdf,whitehouse.gov/publicserviceloanforgiveness/,5
Agency Maturity for Agile,https://techfarhub.usds.gov/assets/files/USDS_DigitalAcquisitionStrategyGuide.pdf,techfarhub.usds.gov/resources/learning-center/agency-maturity-for-agile/,4
"Analytical Perspectives | OMB | The White House",https://www.whitehouse.gov/wp-content/uploads/2023/03/ap_11_delivering_fy2024.pdf,whitehouse.gov/omb/budget/analytical-perspectives/,4
"Analytical Perspectives | OMB | The White House",https://www.whitehouse.gov/wp-content/uploads/2023/03/spec_fy2024.pdf,whitehouse.gov/omb/budget/analytical-perspectives/,4
"Budget Appendix | OMB | The White House",https://www.whitehouse.gov/wp-content/uploads/2023/03/lab_fy2024.pdf,whitehouse.gov/omb/budget/appendix/,4
"Circulars | OMB | The White House",https://www.whitehouse.gov/wp-content/uploads/2023/11/CircularA-94.pdf,whitehouse.gov/omb/information-for-agencies/circulars/,4
"Circulars | OMB | The White House",https://www.whitehouse.gov/wp-content/uploads/2023/11/CircularA-94AppendixC.pdf,whitehouse.gov/omb/information-for-agencies/circulars/,4
"Climate change and Environmental Injustice as Social Determinants of Health | OSTP | The White House",https://www.whitehouse.gov/wp-content/uploads/2023/11/SDOH-Playbook.pdf,whitehouse.gov/ostp/news-updates/2023/11/16/climate-change-and-environmental-injustice-as-social-determinants-of-health/,4
"Economic Report of the President | CEA | The White House",https://www.whitehouse.gov/wp-content/uploads/2022/04/ERP-2022.pdf,whitehouse.gov/cea/economic-report-of-the-president/,4
