date,page_title,event_label,file_name,page,total_events
2024-01-04,Hiking - Arches National Park (U.S. National Park Service),file_download,/arch/planyourvisit/upload/ARCHnews2023ver1sm-508-final.pdf,www.nps.gov/arch/planyourvisit/hiking.htm,39
2024-01-04,"Rare Earths Statistics and Information | U.S. Geological Survey",file_download,/periodicals/mcs2023/mcs2023-rare-earths.pdf,www.usgs.gov/centers/national-minerals-information-center/rare-earths-statistics-and-information,39
2024-01-04,Eating & Sleeping - Gulf Islands National Seashore (U.S. National Park Service),file_download,/guis/planyourvisit/upload/070121_FortPickensCampground_PadMap_508.pdf,www.nps.gov/guis/planyourvisit/eatingsleeping.htm,38
2024-01-04,Scenic Drives - Big Cypress National Preserve (U.S. National Park Service),file_download,/bicy/planyourvisit/upload/BICY-Turner-River-Loop-Scenic-Road-FINAL_II.pdf,www.nps.gov/bicy/planyourvisit/scenic-drives.htm,37
2024-01-04,"ANNUAL PASS, 2024 | USGS Store",file_download,/assets/mod/storefiles/pass/2021/nps_4_panel_brochure_2021.pdf,store.usgs.gov/product/206946,36
2024-01-04,Day Hiking - Grand Canyon National Park (U.S. National Park Service),file_download,/grca/planyourvisit/upload/RimTrail.pdf,www.nps.gov/grca/planyourvisit/day-hiking.htm,36
2024-01-04,Maps - Rocky Mountain National Park (U.S. National Park Service),file_download,/romo/planyourvisit/upload/Bear-Lake-Winter-Trail-Guide-2017-digital.pdf,www.nps.gov/romo/planyourvisit/maps.htm,36
2024-01-04,Maps - Canyonlands National Park (U.S. National Park Service),file_download,/cany/planyourvisit/upload/maze2022updated_508forweb.pdf,www.nps.gov/cany/planyourvisit/maps.htm,35
2024-01-04,Maps - Death Valley National Park (U.S. National Park Service),file_download,/deva/planyourvisit/upload/Routes-from-Las-Vegas.pdf,www.nps.gov/deva/planyourvisit/maps.htm,35
2024-01-04,"[KWcam] - Halemaʻumaʻu and down-dropped caldera floor; from the west rim of the summit caldera, looking east. | U.S. Geological Survey",file_download,/observatories/hvo/cams/kwcam/images/m.jpg,www.usgs.gov/media/webcams/kwcam-halemaumau-and-down-dropped-caldera-floor-west-rim-summit-caldera-looking-east,35
2024-01-04,Maps and Brochures - Congaree National Park (U.S. National Park Service),file_download,/cong/planyourvisit/upload/CONG-Trail-Guide-2.pdf,www.nps.gov/cong/planyourvisit/maps.htm,34
