page_title,event_label,page,total_events
"Hanukkah 2020 Stamp | USPS.com",https://www.usps.com/ecp/asset/images/574804-L0.jpg,store.usps.com/store/product/buy-stamps/hanukkah-stamps-s_574804,206
"How to Send a Letter or Postcard | USPS",https://www.usps.com/assets/transcripts/letters.txt,www.usps.com/ship/letters.htm,206
Introduction: Delivering for America: Our ten-year plan - about.usps.com,https://about.usps.com/what/strategic-plans/delivering-for-america/assets/usps-dfa-one-year-report.pdf,about.usps.com/what/strategic-plans/delivering-for-america/,206
"John Lewis Stamps | USPS.com",https://www.usps.com/ecp/asset/images/483204-L0.jpg,store.usps.com/store/product/buy-stamps/john-lewis-stamps-s_483204,206
"Love 2022 Press Sheet without Die-Cuts | USPS.com",https://www.usps.com/ecp/asset/images/578208-L0.jpg,store.usps.com/store/product/stamp-collectors/love-2022-press-sheet-without-die-cuts-s_578208,206
"Love 2023 Stamp Pin with Cancellation Card - Puppy | USPS.com",https://www.usps.com/ecp/asset/images/580827-L0.jpg,store.usps.com/store/product/stamp-collectors/love-2023-stamp-pin-with-cancellation-card-puppy-s_580827,206
"Lunar New Year: Year of the Rabbit Stamped Pin | USPS.com",https://www.usps.com/ecp/asset/images/482826-L0.jpg,store.usps.com/store/product/stamp-collectors/lunar-new-year-year-of-the-rabbit-stamped-pin-s_482826,206
"Lunar New Year: Year of the Rabbit Stamps | USPS.com",https://www.usps.com/ecp/asset/images/482804-L0.jpg,store.usps.com/store/product/buy-stamps/lunar-new-year-year-of-the-rabbit-stamps-s_482804,206
"Mariachi Stamp Portfolio | USPS.com",https://www.usps.com/ecp/asset/images/482325-L0.jpg,store.usps.com/store/product/stamp-collectors/mariachi-stamp-portfolio-s_482325,206
"Mr. ZIP Ornament | USPS.com",https://www.usps.com/ecp/asset/images/843518-L0.jpg,store.usps.com/store/product/stamp-gifts/mr-zip-ornament-p_843518,206
"Northern Cardinal Forever #10 Regular Stamped Envelopes (PSA) Stamp | USPS.com",https://www.usps.com/ecp/asset/images/292548-L0.jpg,store.usps.com/store/product/cards-envelopes/northern-cardinal-forever-10-regular-stamped-envelopes-psa-s_292548,206
"Postage Rates & Prices | USPS",https://www.usps.com/business/prices/2023/m-fcm-comm-letters.xls,www.usps.com/business/prices.htm,206
Postal Bulletin - Resources - About.usps.com,https://about.usps.com/postal-bulletin/2023/pb22637/pb22637.pdf,about.usps.com/resources/postal-bulletin.htm,206
