date,language,visits
2023-12-15,Hebrew,43
2023-12-15,Serbian,39
2023-12-15,Finnish,37
2023-12-15,Czech,36
2023-12-15,(other),32
2023-12-15,Hindi,30
2023-12-15,Slovenian,30
2023-12-15,Bulgarian,26
2023-12-15,Slovak,18
2023-12-15,Catalan,17
2023-12-15,Malay,13
2023-12-15,Bengali,11
2023-12-14,English,611793
2023-12-14,Spanish,13158
2023-12-14,Chinese,6485
2023-12-14,Portuguese,2446
2023-12-14,Japanese,1652
2023-12-14,French,1395
2023-12-14,Korean,1132
2023-12-14,German,927
2023-12-14,Russian,632
2023-12-14,Vietnamese,574
2023-12-14,Turkish,554
2023-12-14,Italian,510
2023-12-14,Arabic,447
2023-12-14,Indonesian,303
2023-12-14,Dutch,267
2023-12-14,Polish,214
2023-12-14,Thai,177
2023-12-14,Bosnian,154
2023-12-14,Swedish,152
2023-12-14,Ukrainian,143
2023-12-14,Croatian,129
2023-12-14,Danish,127
2023-12-14,Norwegian Bokmål,108
2023-12-14,Czech,95
2023-12-14,Hebrew,94
2023-12-14,Hungarian,83
2023-12-14,Persian,83
2023-12-14,Greek,78
2023-12-14,Romanian,73
2023-12-14,Macedonian,68
2023-12-14,Finnish,66
2023-12-14,Albanian,59
2023-12-14,Serbian,56
2023-12-14,(other),51
2023-12-14,Slovenian,38
2023-12-14,Hindi,35
2023-12-14,Slovak,32
2023-12-14,Bulgarian,29
2023-12-14,Catalan,22
2023-12-14,Bengali,20
2023-12-14,Malay,15
2023-12-14,Uzbek,12
2023-12-13,English,664720
2023-12-13,Spanish,13883
2023-12-13,Chinese,3382
2023-12-13,Portuguese,2651
2023-12-13,Japanese,1925
2023-12-13,French,1636
2023-12-13,Korean,1577
2023-12-13,German,1222
2023-12-13,Russian,726
2023-12-13,Vietnamese,673
2023-12-13,Turkish,664
2023-12-13,Italian,636
2023-12-13,Arabic,523
2023-12-13,Indonesian,452
2023-12-13,Dutch,413
2023-12-13,Polish,301
2023-12-13,Thai,282
2023-12-13,Swedish,264
2023-12-13,Ukrainian,174
2023-12-13,Croatian,167
2023-12-13,Danish,161
2023-12-13,Norwegian Bokmål,152
2023-12-13,Bosnian,146
2023-12-13,Greek,126
2023-12-13,Hungarian,119
2023-12-13,Romanian,115
2023-12-13,Czech,112
2023-12-13,Hebrew,112
2023-12-13,Finnish,89
2023-12-13,Persian,83
2023-12-13,Albanian,67
2023-12-13,Macedonian,65
