date,os,visits
2023-10-11,Macintosh,37525
2023-10-11,Linux,14373
2023-10-11,Chrome OS,5727
2023-10-11,(not set),118
2023-10-10,Windows,189941
2023-10-10,iOS,87511
2023-10-10,Android,50074
2023-10-10,Macintosh,37079
2023-10-10,Linux,12681
2023-10-10,Chrome OS,5446
2023-10-10,(not set),349
2023-10-09,Windows,170334
2023-10-09,iOS,80709
2023-10-09,Android,48194
2023-10-09,Macintosh,36570
2023-10-09,Linux,12347
2023-10-09,Chrome OS,4133
2023-10-08,iOS,66843
2023-10-08,Windows,55812
2023-10-08,Android,35500
2023-10-08,Macintosh,24198
2023-10-08,Linux,10956
2023-10-08,Chrome OS,1712
2023-10-07,Windows,74339
2023-10-07,iOS,64859
2023-10-07,Android,37402
2023-10-07,Macintosh,19526
2023-10-07,Linux,11331
2023-10-07,Chrome OS,1475
2023-10-07,(not set),174
