date,browser,os,visits
2023-12-29,Opera,Windows,7364
2023-12-29,Opera,Android,6173
2023-12-29,Amazon Silk,Android,5862
2023-12-29,Firefox,Linux,5104
2023-12-29,Internet Explorer,Windows,4625
2023-12-29,Edge,Android,4417
2023-12-29,Samsung Internet,Linux,1923
2023-12-29,Mozilla Compatible Agent,Macintosh,1831
2023-12-29,(not set),(not set),1666
2023-12-29,Edge,Macintosh,1225
2023-12-29,UC Browser,Android,1092
2023-12-29,Opera Mini,(not set),803
2023-12-29,(not set),iOS,566
2023-12-29,YaBrowser,Windows,503
2023-12-29,Opera,Macintosh,449
2023-12-29,Mozilla,Linux,322
2023-12-29,Coc Coc,Windows,265
2023-12-29,Opera Mini,Android,259
2023-12-29,Iron,iOS,237
2023-12-29,(not set),Android,215
2023-12-29,Edge,Linux,190
2023-12-29,YaBrowser,Android,187
2023-12-29,Safari,Linux,177
2023-12-29,Opera,Linux,168
2023-12-29,Chrome,Fuchsia,137
2023-12-29,Whale Browser,Windows,110
2023-12-29,Android Runtime,Android,106
2023-12-29,UC Browser,iOS,105
2023-12-28,Safari,iOS,1815712
2023-12-28,Chrome,Android,1642476
2023-12-28,Chrome,Windows,1157576
2023-12-28,Edge,Windows,460166
2023-12-28,Chrome,iOS,288073
2023-12-28,Safari,Macintosh,235500
2023-12-28,Chrome,Macintosh,182158
2023-12-28,Chrome,Linux,144066
2023-12-28,Samsung Internet,Android,91698
2023-12-28,Safari (in-app),iOS,66828
2023-12-28,Firefox,Windows,56290
2023-12-28,Android Webview,Android,40342
2023-12-28,Chrome,Chrome OS,29361
2023-12-28,Firefox,Macintosh,12519
2023-12-28,Firefox,Android,9887
2023-12-28,Opera,Windows,8218
2023-12-28,Opera,Android,6831
2023-12-28,Amazon Silk,Android,6235
2023-12-28,Firefox,Linux,5520
2023-12-28,Edge,Android,4896
2023-12-28,Internet Explorer,Windows,2696
2023-12-28,(not set),(not set),2331
2023-12-28,Mozilla Compatible Agent,Macintosh,2042
2023-12-28,Samsung Internet,Linux,2020
2023-12-28,Edge,Macintosh,1560
2023-12-28,UC Browser,Android,1289
2023-12-28,(not set),iOS,964
2023-12-28,Opera Mini,(not set),819
2023-12-28,YaBrowser,Windows,604
2023-12-28,Opera,Macintosh,582
2023-12-28,Iron,iOS,401
2023-12-28,Coc Coc,Windows,353
2023-12-28,Mozilla,Linux,312
2023-12-28,Opera Mini,Android,286
2023-12-28,YaBrowser,Android,246
2023-12-28,Edge,Linux,242
2023-12-28,(not set),Android,238
2023-12-28,Whale Browser,Windows,207
2023-12-28,Opera,Linux,190
2023-12-28,Chrome,Fuchsia,149
2023-12-28,Android Runtime,Android,148
2023-12-28,Safari,Linux,130
2023-12-28,Samsung Internet,Tizen,116
2023-12-28,UC Browser,iOS,109
2023-12-28,Whale Browser,Android,108
2023-12-28,Aloha Browser,iOS,102
2023-12-27,Safari,iOS,1790660
2023-12-27,Chrome,Android,1635575
2023-12-27,Chrome,Windows,1152855
2023-12-27,Edge,Windows,467066
2023-12-27,Chrome,iOS,276886
2023-12-27,Safari,Macintosh,241898
2023-12-27,Chrome,Macintosh,177906
2023-12-27,Chrome,Linux,144759
2023-12-27,Samsung Internet,Android,90005
2023-12-27,Safari (in-app),iOS,67123
2023-12-27,Firefox,Windows,56851
2023-12-27,Android Webview,Android,40889
2023-12-27,Chrome,Chrome OS,27413
2023-12-27,Firefox,Macintosh,12670
2023-12-27,Firefox,Android,9875
2023-12-27,Opera,Windows,8353
2023-12-27,Firefox,Linux,8176
2023-12-27,Opera,Android,6727
2023-12-27,Amazon Silk,Android,6437
2023-12-27,Edge,Android,4919
2023-12-27,Internet Explorer,Windows,2676
2023-12-27,Samsung Internet,Linux,2031
2023-12-27,Mozilla Compatible Agent,Macintosh,1950
