date,os,visits
2023-11-01,(not set),856
2023-11-01,Tizen,486
2023-11-01,OS/2,307
2023-11-01,Firefox OS,183
2023-11-01,Fuchsia,139
2023-11-01,Playstation 4,132
2023-10-31,Windows,1532120
2023-10-31,iOS,863506
2023-10-31,Android,666035
2023-10-31,Macintosh,488036
2023-10-31,Chrome OS,142917
2023-10-31,Linux,118434
2023-10-31,(not set),1121
2023-10-31,Tizen,609
2023-10-31,OS/2,297
2023-10-31,Firefox OS,186
2023-10-31,Fuchsia,160
2023-10-31,Playstation 4,118
2023-10-30,Windows,1572488
2023-10-30,iOS,948524
2023-10-30,Android,698572
2023-10-30,Macintosh,508544
2023-10-30,Chrome OS,153386
2023-10-30,Linux,114823
2023-10-30,(not set),748
2023-10-30,Tizen,636
2023-10-30,OS/2,395
2023-10-30,Firefox OS,220
2023-10-30,Fuchsia,170
2023-10-30,Playstation 4,141
2023-10-29,iOS,1034573
2023-10-29,Windows,873216
2023-10-29,Android,748601
2023-10-29,Macintosh,459229
2023-10-29,Linux,104695
2023-10-29,Chrome OS,92854
2023-10-29,(not set),746
2023-10-29,Tizen,638
2023-10-29,OS/2,407
2023-10-29,Firefox OS,223
2023-10-29,Fuchsia,208
2023-10-29,Playstation 4,127
2023-10-28,iOS,1017405
2023-10-28,Windows,845456
2023-10-28,Android,757064
2023-10-28,Macintosh,404094
2023-10-28,Linux,104805
2023-10-28,Chrome OS,86325
2023-10-28,(not set),925
2023-10-28,Tizen,627
2023-10-28,OS/2,383
2023-10-28,Firefox OS,200
2023-10-28,Fuchsia,166
2023-10-28,Playstation 4,134
2023-10-27,Windows,1398547
2023-10-27,iOS,1001437
2023-10-27,Android,741293
2023-10-27,Macintosh,474450
2023-10-27,Chrome OS,141435
2023-10-27,Linux,112998
2023-10-27,(not set),765
2023-10-27,Tizen,613
2023-10-27,OS/2,383
2023-10-27,Firefox OS,202
2023-10-27,Fuchsia,143
2023-10-27,Playstation 4,129
2023-10-26,Windows,1590357
2023-10-26,iOS,1020106
2023-10-26,Android,754227
2023-10-26,Macintosh,517530
2023-10-26,Chrome OS,156992
2023-10-26,Linux,112592
2023-10-26,(not set),836
2023-10-26,Tizen,642
2023-10-26,OS/2,376
2023-10-26,Firefox OS,211
2023-10-26,Fuchsia,125
2023-10-26,Playstation 4,125
2023-10-25,Windows,1671296
2023-10-25,iOS,1142754
2023-10-25,Android,815132
2023-10-25,Macintosh,573250
2023-10-25,Chrome OS,161509
2023-10-25,Linux,120773
2023-10-25,(not set),963
2023-10-25,Tizen,662
2023-10-25,OS/2,346
2023-10-25,Firefox OS,228
2023-10-25,Fuchsia,148
2023-10-25,Playstation 4,142
2023-10-24,Windows,1586643
2023-10-24,iOS,1033542
2023-10-24,Android,761039
2023-10-24,Macintosh,537354
2023-10-24,Chrome OS,157995
2023-10-24,Linux,116127
2023-10-24,(not set),1059
2023-10-24,Tizen,616
2023-10-24,OS/2,365
2023-10-24,Firefox OS,196
2023-10-24,Playstation 4,126
2023-10-24,Fuchsia,116
2023-10-23,Windows,1529402
2023-10-23,iOS,964180
2023-10-23,Android,699057
2023-10-23,Macintosh,505754
2023-10-23,Chrome OS,144712
2023-10-23,Linux,111460
2023-10-23,(not set),804
2023-10-23,Tizen,562
2023-10-23,OS/2,324
2023-10-23,Firefox OS,181
2023-10-23,Fuchsia,134
2023-10-23,Playstation 4,112
2023-10-22,iOS,970492
2023-10-22,Windows,827612
2023-10-22,Android,700561
2023-10-22,Macintosh,426922
2023-10-22,Linux,101869
2023-10-22,Chrome OS,89697
2023-10-22,(not set),1539
2023-10-22,Tizen,614
2023-10-22,OS/2,341
2023-10-22,Firefox OS,165
2023-10-22,Playstation 4,137
2023-10-22,Fuchsia,134
2023-10-21,iOS,1052695
2023-10-21,Android,805641
2023-10-21,Windows,777668
2023-10-21,Macintosh,395647
2023-10-21,Linux,103738
2023-10-21,Chrome OS,83683
2023-10-21,(not set),997
2023-10-21,Tizen,688
2023-10-21,OS/2,295
2023-10-21,Firefox OS,164
2023-10-21,Playstation 4,144
2023-10-21,Fuchsia,132
2023-10-20,Windows,1341460
2023-10-20,iOS,1021791
2023-10-20,Android,817276
2023-10-20,Macintosh,464681
2023-10-20,Chrome OS,135230
2023-10-20,Linux,114489
2023-10-20,(not set),859
2023-10-20,Tizen,701
2023-10-20,OS/2,336
2023-10-20,Firefox OS,189
2023-10-20,Playstation 4,153
2023-10-20,Fuchsia,112
2023-10-19,Windows,1502348
2023-10-19,iOS,1010795
2023-10-19,Android,736275
2023-10-19,Macintosh,504497
2023-10-19,Chrome OS,148299
2023-10-19,Linux,112471
2023-10-19,(not set),944
2023-10-19,Tizen,640
2023-10-19,OS/2,307
2023-10-19,Firefox OS,167
2023-10-19,Fuchsia,134
2023-10-19,Playstation 4,124
2023-10-18,Windows,1472737
2023-10-18,iOS,933178
2023-10-18,Android,695144
2023-10-18,Macintosh,494555
2023-10-18,Chrome OS,143165
2023-10-18,Linux,111807
2023-10-18,(not set),971
2023-10-18,Tizen,586
2023-10-18,OS/2,302
2023-10-18,Firefox OS,169
2023-10-18,Fuchsia,126
2023-10-18,Playstation 4,123
2023-10-17,Windows,1450900
2023-10-17,iOS,843619
2023-10-17,Android,626789
2023-10-17,Macintosh,475445
2023-10-17,Chrome OS,145278
2023-10-17,Linux,112245
2023-10-17,(not set),873
2023-10-17,Tizen,513
2023-10-17,OS/2,278
